,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
tRatio0.001_WDDRate0.05,0.9670 (0.00251),0.9671 (0.00254),0.9701 (0.00381),0.9642 (0.00230),0.9341 (0.00504),0.9589 (0.00220),0.9591 (0.00213),0.9647 (0.00222),0.9536 (0.00380),0.9178 (0.00437),0.9576 (0.00201),0.9578 (0.00200),0.9623 (0.00277),0.9533 (0.00247),0.9152 (0.00402)
tRatio0.001_WDDRate0.1,0.9641 (0.00380),0.9642 (0.00382),0.9672 (0.00511),0.9612 (0.00336),0.9282 (0.00761),0.9572 (0.00253),0.9575 (0.00248),0.9636 (0.00306),0.9515 (0.00410),0.9146 (0.00504),0.9560 (0.00244),0.9563 (0.00247),0.9619 (0.00396),0.9508 (0.00228),0.9122 (0.00489)
tRatio0.001_WDDRate0,0.9450 (0.10877),0.9361 (0.16645),0.9526 (0.16117),0.9247 (0.17548),0.8904 (0.21750),0.9351 (0.10652),0.9264 (0.16445),0.9447 (0.15988),0.9133 (0.17310),0.8708 (0.21298),0.9330 (0.10596),0.9243 (0.16397),0.9417 (0.15939),0.9120 (0.17260),0.8665 (0.21187)
tRatio0.001_WDDRate1,0.9554 (0.00283),0.9555 (0.00285),0.9581 (0.00424),0.9529 (0.00324),0.9108 (0.00566),0.9527 (0.00161),0.9529 (0.00162),0.9571 (0.00333),0.9487 (0.00279),0.9054 (0.00322),0.9528 (0.00225),0.9530 (0.00224),0.9574 (0.00278),0.9487 (0.00262),0.9056 (0.00450)
tRatio0.01_WDDRate0.05,0.9837 (0.00714),0.9837 (0.00709),0.9856 (0.00530),0.9818 (0.00912),0.9673 (0.01426),0.9694 (0.00733),0.9695 (0.00727),0.9722 (0.00654),0.9668 (0.00911),0.9388 (0.01464),0.9679 (0.00846),0.9680 (0.00838),0.9706 (0.00629),0.9654 (0.01078),0.9358 (0.01690)
tRatio0.01_WDDRate0.1,0.9763 (0.00491),0.9764 (0.00488),0.9794 (0.00421),0.9734 (0.00589),0.9526 (0.00981),0.9642 (0.00356),0.9643 (0.00354),0.9694 (0.00458),0.9594 (0.00509),0.9284 (0.00712),0.9622 (0.00434),0.9623 (0.00430),0.9661 (0.00384),0.9586 (0.00578),0.9244 (0.00867)
tRatio0.01_WDDRate0,0.9957 (0.00175),0.9957 (0.00175),0.9965 (0.00141),0.9948 (0.00281),0.9913 (0.00350),0.9838 (0.00311),0.9839 (0.00310),0.9865 (0.00333),0.9813 (0.00386),0.9677 (0.00621),0.9822 (0.00336),0.9823 (0.00334),0.9833 (0.00338),0.9813 (0.00447),0.9645 (0.00672)
tRatio0.01_WDDRate1,0.9658 (0.00318),0.9659 (0.00320),0.9690 (0.00412),0.9628 (0.00293),0.9315 (0.00637),0.9582 (0.00296),0.9584 (0.00293),0.9641 (0.00317),0.9529 (0.00367),0.9165 (0.00591),0.9569 (0.00279),0.9572 (0.00280),0.9634 (0.00363),0.9511 (0.00281),0.9139 (0.00560)
tRatio0.1_WDDRate0.05,0.9957 (0.00222),0.9957 (0.00221),0.9963 (0.00220),0.9951 (0.00294),0.9914 (0.00444),0.9815 (0.00291),0.9816 (0.00289),0.9846 (0.00301),0.9786 (0.00389),0.9631 (0.00582),0.9815 (0.00345),0.9815 (0.00342),0.9826 (0.00291),0.9805 (0.00480),0.9631 (0.00689)
tRatio0.1_WDDRate0.1,0.9909 (0.00539),0.9909 (0.00536),0.9928 (0.00454),0.9891 (0.00655),0.9818 (0.01076),0.9756 (0.00707),0.9757 (0.00702),0.9795 (0.00706),0.9720 (0.00829),0.9513 (0.01411),0.9749 (0.00830),0.9750 (0.00822),0.9780 (0.00650),0.9720 (0.01051),0.9499 (0.01658)
