,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
penaltyl1 C0.001 solverliblinear,0.8586 (0.00063),0.8575 (0.00069),0.8510 (0.00132),0.8642 (0.00083),0.7173 (0.00125),0.8611 (0.00202),0.8605 (0.00181),0.8563 (0.00054),0.8647 (0.00325),0.7223 (0.00407),0.8571 (0.00054),0.8560 (0.00025),0.8496 (0.00212),0.8625 (0.00243),0.7142 (0.00114)
penaltyl1 C0.001 solversaga,0.8587 (0.00068),0.8576 (0.00074),0.8512 (0.00126),0.8641 (0.00075),0.7174 (0.00135),0.8612 (0.00230),0.8606 (0.00209),0.8568 (0.00084),0.8644 (0.00347),0.7224 (0.00461),0.8571 (0.00056),0.8561 (0.00030),0.8498 (0.00189),0.8624 (0.00228),0.7143 (0.00117)
penaltyl1 C0.01 solverliblinear,0.9206 (0.00227),0.9184 (0.00223),0.8931 (0.00185),0.9451 (0.00400),0.8425 (0.00468),0.9219 (0.00121),0.9199 (0.00117),0.8972 (0.00169),0.9439 (0.00262),0.8449 (0.00250),0.9115 (0.00142),0.9085 (0.00155),0.8790 (0.00237),0.9400 (0.00076),0.8247 (0.00274)
penaltyl1 C0.01 solversaga,0.9239 (0.00223),0.9226 (0.00220),0.9076 (0.00161),0.9382 (0.00314),0.8482 (0.00450),0.9272 (0.00200),0.9262 (0.00208),0.9137 (0.00318),0.9391 (0.00214),0.8548 (0.00397),0.9184 (0.00123),0.9169 (0.00143),0.9001 (0.00332),0.9344 (0.00063),0.8375 (0.00232)
penaltyl1 C0.1 solverliblinear,0.9353 (0.00138),0.9346 (0.00139),0.9250 (0.00151),0.9443 (0.00151),0.8707 (0.00276),0.9362 (0.00224),0.9357 (0.00227),0.9288 (0.00250),0.9428 (0.00218),0.8725 (0.00448),0.9282 (0.00063),0.9272 (0.00076),0.9142 (0.00242),0.9406 (0.00105),0.8568 (0.00118)
penaltyl1 C0.1 solversaga,0.9335 (0.00028),0.9328 (0.00027),0.9234 (0.00037),0.9423 (0.00057),0.8671 (0.00057),0.9345 (0.00258),0.9339 (0.00259),0.9264 (0.00240),0.9416 (0.00294),0.8690 (0.00517),0.9270 (0.00086),0.9260 (0.00095),0.9138 (0.00209),0.9386 (0.00082),0.8543 (0.00167)
penaltyl1 C100 solverliblinear,0.9380 (0.00131),0.9376 (0.00130),0.9310 (0.00107),0.9443 (0.00164),0.8761 (0.00262),0.9372 (0.00299),0.9368 (0.00293),0.9309 (0.00241),0.9429 (0.00440),0.8745 (0.00601),0.9294 (0.00100),0.9285 (0.00102),0.9170 (0.00129),0.9402 (0.00108),0.8590 (0.00199)
penaltyl1 C100 solversaga,0.9338 (0.00033),0.9332 (0.00031),0.9244 (0.00047),0.9422 (0.00086),0.8679 (0.00068),0.9345 (0.00361),0.9338 (0.00363),0.9250 (0.00352),0.9428 (0.00392),0.8691 (0.00722),0.9278 (0.00051),0.9268 (0.00056),0.9148 (0.00144),0.9391 (0.00082),0.8558 (0.00098)
penaltyl1 C10 solverliblinear,0.9382 (0.00139),0.9377 (0.00138),0.9310 (0.00131),0.9446 (0.00179),0.8764 (0.00278),0.9374 (0.00295),0.9370 (0.00287),0.9312 (0.00173),0.9430 (0.00457),0.8749 (0.00594),0.9295 (0.00110),0.9286 (0.00112),0.9172 (0.00139),0.9403 (0.00124),0.8592 (0.00219)
penaltyl1 C10 solversaga,0.9338 (0.00032),0.9332 (0.00029),0.9243 (0.00040),0.9422 (0.00083),0.8678 (0.00066),0.9345 (0.00364),0.9339 (0.00367),0.9252 (0.00362),0.9428 (0.00394),0.8692 (0.00729),0.9277 (0.00053),0.9268 (0.00060),0.9147 (0.00155),0.9392 (0.00082),0.8557 (0.00104)
penaltyl1 C1 solverliblinear,0.9373 (0.00130),0.9368 (0.00133),0.9298 (0.00191),0.9439 (0.00144),0.8747 (0.00259),0.9363 (0.00295),0.9359 (0.00294),0.9298 (0.00291),0.9421 (0.00397),0.8727 (0.00593),0.9297 (0.00064),0.9288 (0.00063),0.9170 (0.00103),0.9410 (0.00137),0.8597 (0.00131)
penaltyl1 C1 solversaga,0.9341 (0.00039),0.9335 (0.00035),0.9245 (0.00036),0.9426 (0.00097),0.8684 (0.00079),0.9345 (0.00349),0.9339 (0.00350),0.9254 (0.00325),0.9425 (0.00391),0.8691 (0.00698),0.9277 (0.00031),0.9267 (0.00037),0.9146 (0.00144),0.9392 (0.00103),0.8557 (0.00059)
penaltyl2 C0.001 solverlbfgs,0.9093 (0.00110),0.9063 (0.00120),0.8773 (0.00218),0.9373 (0.00135),0.8203 (0.00213),0.9144 (0.00193),0.9117 (0.00235),0.8842 (0.00639),0.9410 (0.00305),0.8303 (0.00351),0.9042 (0.00093),0.9005 (0.00099),0.8672 (0.00129),0.9364 (0.00103),0.8106 (0.00184)
penaltyl2 C0.001 solverliblinear,0.9062 (0.00073),0.9022 (0.00087),0.8647 (0.00204),0.9430 (0.00110),0.8153 (0.00134),0.9116 (0.00189),0.9078 (0.00219),0.8705 (0.00536),0.9485 (0.00368),0.8260 (0.00357),0.9014 (0.00080),0.8965 (0.00090),0.8541 (0.00148),0.9433 (0.00076),0.8064 (0.00153)
penaltyl2 C0.001 solvernewton- Cg,0.9093 (0.00110),0.9063 (0.00120),0.8773 (0.00218),0.9373 (0.00135),0.8203 (0.00213),0.9144 (0.00193),0.9117 (0.00235),0.8842 (0.00639),0.9410 (0.00305),0.8303 (0.00351),0.9042 (0.00093),0.9005 (0.00099),0.8672 (0.00129),0.9364 (0.00103),0.8106 (0.00184)
penaltyl2 C0.001 solversaga,0.9092 (0.00127),0.9061 (0.00141),0.8769 (0.00259),0.9373 (0.00134),0.8200 (0.00244),0.9144 (0.00193),0.9117 (0.00235),0.8842 (0.00639),0.9410 (0.00305),0.8303 (0.00351),0.9041 (0.00086),0.9005 (0.00091),0.8671 (0.00115),0.9364 (0.00102),0.8105 (0.00172)
penaltyl2 C0.01 solverlbfgs,0.9258 (0.00098),0.9246 (0.00097),0.9102 (0.00056),0.9396 (0.00140),0.8520 (0.00199),0.9277 (0.00110),0.9264 (0.00114),0.9101 (0.00203),0.9433 (0.00164),0.8559 (0.00219),0.9220 (0.00098),0.9206 (0.00102),0.9037 (0.00143),0.9381 (0.00106),0.8446 (0.00196)
penaltyl2 C0.01 solverliblinear,0.9247 (0.00095),0.9232 (0.00091),0.9049 (0.00042),0.9423 (0.00168),0.8501 (0.00195),0.9265 (0.00210),0.9249 (0.00221),0.9045 (0.00351),0.9461 (0.00247),0.8539 (0.00415),0.9198 (0.00031),0.9179 (0.00038),0.8966 (0.00110),0.9402 (0.00041),0.8405 (0.00055)
penaltyl2 C0.01 solvernewton- Cg,0.9258 (0.00098),0.9246 (0.00097),0.9102 (0.00056),0.9396 (0.00140),0.8520 (0.00199),0.9277 (0.00110),0.9264 (0.00114),0.9101 (0.00203),0.9433 (0.00164),0.8559 (0.00219),0.9220 (0.00098),0.9206 (0.00102),0.9037 (0.00143),0.9381 (0.00106),0.8446 (0.00196)
penaltyl2 C0.01 solversaga,0.9258 (0.00098),0.9246 (0.00097),0.9102 (0.00056),0.9396 (0.00140),0.8520 (0.00199),0.9276 (0.00098),0.9263 (0.00103),0.9101 (0.00203),0.9431 (0.00167),0.8557 (0.00196),0.9220 (0.00098),0.9206 (0.00102),0.9037 (0.00143),0.9381 (0.00106),0.8446 (0.00196)
penaltyl2 C0.1 solverlbfgs,0.9345 (0.00035),0.9338 (0.00036),0.9251 (0.00092),0.9428 (0.00085),0.8691 (0.00070),0.9346 (0.00301),0.9340 (0.00298),0.9254 (0.00271),0.9427 (0.00412),0.8693 (0.00605),0.9275 (0.00064),0.9266 (0.00069),0.9150 (0.00146),0.9385 (0.00089),0.8553 (0.00127)
