,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
numMidLayers0_hiddenDim128,0.9883 (0.00149),0.9883 (0.00149),0.9905 (0.00197),0.9861 (0.00163),0.9765 (0.00299),0.9626 (0.00326),0.9627 (0.00317),0.9670 (0.00285),0.9585 (0.00576),0.9252 (0.00649),0.9594 (0.00170),0.9596 (0.00166),0.9645 (0.00230),0.9548 (0.00321),0.9189 (0.00339)
numMidLayers0_hiddenDim256,0.9891 (0.00160),0.9891 (0.00160),0.9915 (0.00226),0.9868 (0.00142),0.9782 (0.00320),0.9612 (0.00313),0.9614 (0.00304),0.9658 (0.00317),0.9570 (0.00588),0.9225 (0.00624),0.9582 (0.00147),0.9584 (0.00142),0.9638 (0.00222),0.9531 (0.00309),0.9164 (0.00292)
numMidLayers0_hiddenDim64,0.9872 (0.00167),0.9872 (0.00168),0.9890 (0.00224),0.9855 (0.00150),0.9744 (0.00335),0.9637 (0.00316),0.9638 (0.00307),0.9678 (0.00278),0.9599 (0.00566),0.9274 (0.00629),0.9612 (0.00131),0.9614 (0.00127),0.9661 (0.00191),0.9567 (0.00277),0.9224 (0.00261)
numMidLayers1_hiddenDim128,0.9881 (0.00205),0.9881 (0.00206),0.9909 (0.00294),0.9853 (0.00179),0.9762 (0.00411),0.9623 (0.00351),0.9625 (0.00345),0.9668 (0.00332),0.9582 (0.00541),0.9247 (0.00701),0.9576 (0.00201),0.9578 (0.00199),0.9629 (0.00254),0.9528 (0.00302),0.9153 (0.00402)
numMidLayers1_hiddenDim256,0.9864 (0.00321),0.9864 (0.00321),0.9887 (0.00390),0.9842 (0.00279),0.9729 (0.00643),0.9608 (0.00358),0.9609 (0.00352),0.9640 (0.00343),0.9579 (0.00553),0.9216 (0.00715),0.9554 (0.00158),0.9556 (0.00159),0.9606 (0.00282),0.9507 (0.00224),0.9108 (0.00317)
numMidLayers1_hiddenDim64,0.9868 (0.00269),0.9868 (0.00269),0.9895 (0.00319),0.9842 (0.00268),0.9736 (0.00538),0.9636 (0.00324),0.9638 (0.00319),0.9683 (0.00339),0.9594 (0.00498),0.9273 (0.00647),0.9595 (0.00229),0.9598 (0.00225),0.9654 (0.00271),0.9542 (0.00340),0.9191 (0.00457)
numMidLayers2_hiddenDim128,0.9864 (0.00313),0.9865 (0.00314),0.9893 (0.00408),0.9837 (0.00270),0.9729 (0.00628),0.9618 (0.00293),0.9619 (0.00291),0.9648 (0.00345),0.9590 (0.00422),0.9236 (0.00587),0.9563 (0.00191),0.9565 (0.00191),0.9610 (0.00288),0.9520 (0.00234),0.9126 (0.00382)
numMidLayers2_hiddenDim256,0.9848 (0.00435),0.9848 (0.00435),0.9871 (0.00531),0.9826 (0.00367),0.9696 (0.00871),0.9606 (0.00305),0.9607 (0.00304),0.9631 (0.00394),0.9583 (0.00411),0.9212 (0.00611),0.9546 (0.00211),0.9548 (0.00211),0.9589 (0.00309),0.9508 (0.00276),0.9093 (0.00423)
numMidLayers2_hiddenDim64,0.9863 (0.00211),0.9863 (0.00211),0.9890 (0.00302),0.9837 (0.00203),0.9726 (0.00422),0.9632 (0.00339),0.9634 (0.00334),0.9677 (0.00357),0.9592 (0.00517),0.9265 (0.00677),0.9586 (0.00235),0.9588 (0.00231),0.9641 (0.00338),0.9535 (0.00387),0.9172 (0.00468)
numMidLayers3_hiddenDim128,0.9854 (0.00488),0.9854 (0.00488),0.9880 (0.00607),0.9829 (0.00420),0.9708 (0.00977),0.9620 (0.00359),0.9621 (0.00359),0.9641 (0.00494),0.9601 (0.00464),0.9240 (0.00717),0.9557 (0.00253),0.9558 (0.00254),0.9593 (0.00389),0.9524 (0.00306),0.9114 (0.00507)
numMidLayers3_hiddenDim256,0.9853 (0.00380),0.9854 (0.00381),0.9877 (0.00510),0.9830 (0.00298),0.9707 (0.00762),0.9608 (0.00269),0.9609 (0.00267),0.9624 (0.00325),0.9594 (0.00387),0.9216 (0.00539),0.9544 (0.00202),0.9546 (0.00202),0.9579 (0.00326),0.9513 (0.00305),0.9088 (0.00404)
numMidLayers3_hiddenDim64,0.9833 (0.00390),0.9833 (0.00390),0.9855 (0.00446),0.9811 (0.00394),0.9666 (0.00780),0.9617 (0.00361),0.9618 (0.00355),0.9648 (0.00338),0.9589 (0.00537),0.9235 (0.00720),0.9561 (0.00293),0.9563 (0.00291),0.9607 (0.00385),0.9520 (0.00404),0.9123 (0.00586)
