n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapFalse,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9986 (0.00022),0.9986 (0.00022),0.9972 (0.00045),1.0000 (0.00000),0.9972 (0.00045),0.9811 (0.00233),0.9812 (0.00232),0.9823 (0.00310),0.9800 (0.00382),0.9623 (0.00466),0.9793 (0.00042),0.9794 (0.00040),0.9807 (0.00137),0.9780 (0.00165),0.9587 (0.00083)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9978 (0.00016),0.9978 (0.00016),0.9957 (0.00034),0.9999 (0.00014),0.9956 (0.00031),0.9805 (0.00209),0.9806 (0.00207),0.9821 (0.00240),0.9790 (0.00378),0.9611 (0.00419),0.9780 (0.00099),0.9780 (0.00097),0.9794 (0.00143),0.9767 (0.00230),0.9560 (0.00198)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9984 (0.00026),0.9984 (0.00026),0.9968 (0.00052),1.0000 (0.00000),0.9968 (0.00051),0.9819 (0.00168),0.9819 (0.00167),0.9831 (0.00233),0.9807 (0.00295),0.9637 (0.00336),0.9792 (0.00084),0.9792 (0.00083),0.9804 (0.00118),0.9780 (0.00171),0.9584 (0.00168)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9977 (0.00020),0.9977 (0.00020),0.9955 (0.00030),0.9999 (0.00022),0.9954 (0.00040),0.9807 (0.00236),0.9807 (0.00235),0.9822 (0.00265),0.9792 (0.00392),0.9614 (0.00473),0.9779 (0.00083),0.9779 (0.00081),0.9791 (0.00159),0.9767 (0.00219),0.9557 (0.00165)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9980 (0.00020),0.9980 (0.00020),0.9962 (0.00026),0.9999 (0.00015),0.9961 (0.00039),0.9817 (0.00237),0.9817 (0.00235),0.9831 (0.00265),0.9803 (0.00412),0.9633 (0.00474),0.9797 (0.00052),0.9797 (0.00055),0.9810 (0.00224),0.9785 (0.00124),0.9594 (0.00106)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9970 (0.00023),0.9970 (0.00023),0.9952 (0.00041),0.9989 (0.00046),0.9940 (0.00047),0.9804 (0.00215),0.9804 (0.00213),0.9821 (0.00247),0.9787 (0.00373),0.9607 (0.00430),0.9777 (0.00091),0.9778 (0.00089),0.9793 (0.00123),0.9762 (0.00225),0.9555 (0.00181)
n_estimators1000 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9982 (0.00015),0.9982 (0.00015),0.9964 (0.00015),0.9999 (0.00015),0.9963 (0.00030),0.9818 (0.00231),0.9818 (0.00231),0.9833 (0.00344),0.9803 (0.00325),0.9635 (0.00464),0.9793 (0.00056),0.9793 (0.00057),0.9803 (0.00187),0.9783 (0.00151),0.9586 (0.00113)
n_estimators1000 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9963 (0.00028),0.9963 (0.00028),0.9950 (0.00045),0.9976 (0.00036),0.9925 (0.00057),0.9803 (0.00222),0.9804 (0.00220),0.9822 (0.00267),0.9786 (0.00379),0.9607 (0.00444),0.9775 (0.00095),0.9775 (0.00092),0.9793 (0.00127),0.9758 (0.00230),0.9550 (0.00189)
n_estimators1000 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9982 (0.00015),0.9982 (0.00015),0.9964 (0.00015),0.9999 (0.00015),0.9963 (0.00030),0.9818 (0.00231),0.9818 (0.00231),0.9833 (0.00344),0.9803 (0.00325),0.9635 (0.00464),0.9793 (0.00056),0.9793 (0.00057),0.9803 (0.00187),0.9783 (0.00151),0.9586 (0.00113)
