,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9900 (0.00044),0.9900 (0.00044),0.9862 (0.00069),0.9938 (0.00020),0.9801 (0.00087),0.9643 (0.00044),0.9644 (0.00050),0.9690 (0.00262),0.9600 (0.00183),0.9286 (0.00090),0.9630 (0.00020),0.9631 (0.00020),0.9667 (0.00058),0.9595 (0.00053),0.9259 (0.00040)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9858 (0.00027),0.9857 (0.00028),0.9828 (0.00038),0.9886 (0.00038),0.9716 (0.00055),0.9627 (0.00056),0.9629 (0.00055),0.9681 (0.00200),0.9577 (0.00204),0.9254 (0.00111),0.9618 (0.00047),0.9620 (0.00046),0.9662 (0.00079),0.9579 (0.00073),0.9237 (0.00093)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9896 (0.00065),0.9896 (0.00066),0.9859 (0.00096),0.9933 (0.00045),0.9793 (0.00130),0.9638 (0.00044),0.9640 (0.00035),0.9686 (0.00195),0.9595 (0.00261),0.9277 (0.00084),0.9626 (0.00019),0.9627 (0.00021),0.9664 (0.00078),0.9591 (0.00035),0.9252 (0.00039)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9852 (0.00032),0.9852 (0.00032),0.9828 (0.00036),0.9876 (0.00046),0.9705 (0.00064),0.9629 (0.00038),0.9631 (0.00040),0.9682 (0.00215),0.9580 (0.00188),0.9258 (0.00077),0.9618 (0.00038),0.9620 (0.00038),0.9660 (0.00067),0.9579 (0.00069),0.9236 (0.00076)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9890 (0.00040),0.9889 (0.00041),0.9856 (0.00099),0.9923 (0.00036),0.9780 (0.00080),0.9642 (0.00025),0.9644 (0.00019),0.9688 (0.00233),0.9601 (0.00249),0.9285 (0.00048),0.9626 (0.00051),0.9627 (0.00052),0.9662 (0.00118),0.9593 (0.00061),0.9252 (0.00102)
n_estimators1000 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9840 (0.00033),0.9839 (0.00033),0.9822 (0.00030),0.9857 (0.00049),0.9679 (0.00067),0.9627 (0.00054),0.9629 (0.00051),0.9682 (0.00205),0.9577 (0.00223),0.9254 (0.00107),0.9618 (0.00047),0.9619 (0.00047),0.9662 (0.00083),0.9577 (0.00073),0.9236 (0.00095)
n_estimators1000 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9884 (0.00024),0.9883 (0.00024),0.9852 (0.00032),0.9915 (0.00019),0.9767 (0.00047),0.9640 (0.00029),0.9641 (0.00022),0.9688 (0.00188),0.9596 (0.00220),0.9280 (0.00055),0.9628 (0.00042),0.9629 (0.00041),0.9665 (0.00025),0.9594 (0.00060),0.9256 (0.00083)
n_estimators1000 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9833 (0.00038),0.9832 (0.00038),0.9820 (0.00036),0.9845 (0.00057),0.9665 (0.00077),0.9626 (0.00043),0.9628 (0.00043),0.9684 (0.00226),0.9573 (0.00215),0.9253 (0.00086),0.9617 (0.00047),0.9619 (0.00047),0.9663 (0.00075),0.9576 (0.00061),0.9235 (0.00094)
n_estimators1000 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9884 (0.00024),0.9883 (0.00024),0.9852 (0.00032),0.9915 (0.00019),0.9767 (0.00047),0.9640 (0.00029),0.9641 (0.00022),0.9688 (0.00188),0.9596 (0.00220),0.9280 (0.00055),0.9628 (0.00042),0.9629 (0.00041),0.9665 (0.00025),0.9594 (0.00060),0.9256 (0.00083)
n_estimators1000 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9832 (0.00048),0.9832 (0.00048),0.9819 (0.00044),0.9845 (0.00065),0.9665 (0.00096),0.9627 (0.00047),0.9630 (0.00046),0.9686 (0.00232),0.9574 (0.00219),0.9256 (0.00093),0.9617 (0.00047),0.9618 (0.00047),0.9662 (0.00090),0.9575 (0.00064),0.9234 (0.00094)
