,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
kernellinear C0.001,0.9191 (0.00098),0.9170 (0.00091),0.8940 (0.00056),0.9413 (0.00219),0.8392 (0.00207),0.9217 (0.00061),0.9195 (0.00076),0.8944 (0.00271),0.9461 (0.00189),0.8447 (0.00111),0.9137 (0.00026),0.9109 (0.00030),0.8823 (0.00063),0.9415 (0.00011),0.8291 (0.00048)
kernellinear C0.01,0.9339 (0.00047),0.9334 (0.00058),0.9262 (0.00207),0.9408 (0.00097),0.8680 (0.00089),0.9342 (0.00246),0.9338 (0.00244),0.9279 (0.00200),0.9398 (0.00291),0.8685 (0.00493),0.9276 (0.00086),0.9268 (0.00087),0.9175 (0.00123),0.9364 (0.00122),0.8553 (0.00172)
kernellinear C0.1,0.9397 (0.00148),0.9396 (0.00145),0.9376 (0.00185),0.9415 (0.00244),0.8794 (0.00296),0.9384 (0.00246),0.9384 (0.00244),0.9385 (0.00267),0.9384 (0.00305),0.8768 (0.00492),0.9318 (0.00134),0.9313 (0.00139),0.9246 (0.00192),0.9381 (0.00086),0.8636 (0.00267)
kernellinear C1,0.9414 (0.00106),0.9413 (0.00098),0.9398 (0.00120),0.9428 (0.00254),0.8828 (0.00213),0.9403 (0.00113),0.9403 (0.00120),0.9399 (0.00342),0.9407 (0.00244),0.8806 (0.00226),0.9321 (0.00125),0.9315 (0.00128),0.9236 (0.00170),0.9396 (0.00128),0.8644 (0.00250)
kernellinear C10,0.9416 (0.00074),0.9415 (0.00063),0.9401 (0.00119),0.9429 (0.00242),0.8832 (0.00149),0.9401 (0.00133),0.9401 (0.00133),0.9402 (0.00300),0.9401 (0.00287),0.8803 (0.00266),0.9322 (0.00072),0.9316 (0.00076),0.9244 (0.00144),0.9390 (0.00087),0.8644 (0.00144)
kernellinear C100,0.9420 (0.00063),0.9419 (0.00056),0.9409 (0.00178),0.9429 (0.00233),0.8840 (0.00127),0.9397 (0.00147),0.9397 (0.00155),0.9397 (0.00398),0.9397 (0.00256),0.8794 (0.00293),0.9323 (0.00019),0.9318 (0.00024),0.9248 (0.00112),0.9388 (0.00076),0.8646 (0.00035)
kernelrbf C0.001 gamma0.01,0.8312 (0.00147),0.8069 (0.00151),0.7052 (0.00101),0.9427 (0.00305),0.6845 (0.00334),0.8398 (0.00612),0.8179 (0.00896),0.7200 (0.01617),0.9470 (0.00371),0.7001 (0.00911),0.8251 (0.00246),0.7983 (0.00345),0.6923 (0.00517),0.9427 (0.00075),0.6745 (0.00409)
kernelrbf C0.001 gamma0.1,0.6780 (0.01116),0.7542 (0.00590),0.9875 (0.00299),0.6101 (0.00889),0.4533 (0.01561),0.6767 (0.00991),0.7538 (0.00542),0.9897 (0.00157),0.6088 (0.00765),0.4531 (0.01478),0.6765 (0.01451),0.7528 (0.00796),0.9845 (0.00240),0.6095 (0.01141),0.4481 (0.02177)
kernelrbf C0.001 gamma1,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5051 (0.00148),0.6689 (0.00066),1.0000 (0.00000),0.5025 (0.00075),0.0707 (0.01011),0.5056 (0.00105),0.6692 (0.00047),1.0000 (0.00000),0.5028 (0.00053),0.0745 (0.00726)
kernelrbf C0.001 gamma10,1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),1.0000 (0.00000),0.5002 (0.00028),0.6668 (0.00013),1.0000 (0.00000),0.5001 (0.00014),0.0081 (0.01152),0.5002 (0.00007),0.6668 (0.00003),1.0000 (0.00000),0.5001 (0.00004),0.0139 (0.00239)
kernelrbf C0.01 gamma0.01,0.8935 (0.00107),0.8881 (0.00147),0.8449 (0.00433),0.9359 (0.00238),0.7908 (0.00175),0.8994 (0.00305),0.8945 (0.00314),0.8532 (0.00438),0.9400 (0.00549),0.8022 (0.00627),0.8902 (0.00023),0.8841 (0.00014),0.8373 (0.00068),0.9364 (0.00112),0.7849 (0.00061)
kernelrbf C0.01 gamma0.1,0.7927 (0.00471),0.8226 (0.00305),0.9613 (0.00184),0.7189 (0.00560),0.6219 (0.00696),0.7907 (0.00760),0.8216 (0.00556),0.9636 (0.00169),0.7160 (0.00751),0.6196 (0.01331),0.7877 (0.00535),0.8184 (0.00363),0.9564 (0.00064),0.7151 (0.00588),0.6113 (0.00856)
